external_source,external_id,brand_external_id,name,address,source_url,crawled_at
giftpop.vn,bf71cc0fd26d8cdec8234640bdbf273fd9dbf91adad0e77e02fea89c8fbf0141,TOUSLESJOURS,TOUS les JOURS - Văn Cao,"176 Văn Cao, Phường Đằng Giang, Quận Ngô Quyền, Hải Phòng",https://www.giftpop.vn/category/view/MP2502270003?category_code=A103,2026-08-25T04:40:09.705Z
giftpop.vn,580773e7337ef737ca50eba2852a20e3e91352839e6ff5b2a2340004aa1f8d8c,DMARIS,DMaris - Cộng Hòa,"Tầng 5, Tòa nhà Pico Plaza, số 20 Đường Cộng Hòa, Phường Bảy Hiền, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2606300002?category_code=A104,2026-08-25T04:40:09.705Z
giftpop.vn,9e872197bee5715812a9341d8c29322d4a17f4b078bf1829c0183f9be6839f32,LOTTERIA,Lotteria - Lò Đúc,"66 Lò Đúc, P. Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",https://www.giftpop.vn/category/view/1PEMP2425141401?category_code=A106,2026-08-25T04:40:09.705Z
giftpop.vn,7565d076585d5d7a4018552a01c92fb424abf39700c9ac5934b350a3856cc6cf,PIZZA4PS,Pizza 4Ps - Take Away,"Hẻm 493 Nơ Trang Long, Phường 13, Quận Bình Thạnh, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2205300002?category_code=A107,2026-08-25T04:40:09.705Z
giftpop.vn,82b9b50eb12b0674703070312d969a5ecd5904b3c1a60f26305dad8b6d5615e3,MARCFASHION,Marc Fashion - Aeon Bình Dương,"G36, Aeon Mall Canary BD , Số 01 Đại lộ Bình Dương, Khu phố Bình Giao, Thành Phố Thuận An, Bình Dương",https://www.giftpop.vn/category/view/MP2107290004?category_code=A108,2026-08-25T04:40:09.705Z
giftpop.vn,ec088b81204e1524da62c043014073cb8c90b9d1eaa57207b0212f233bdb7a95,PNJ,PNJ - Centre Mall,"1239 Tỉnh lộ 8, Ấp Thạnh An, Xã Trung An, Huyện Củ Chi, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2104130006?category_code=A111,2026-08-25T04:40:09.705Z
giftpop.vn,06847a85841c3d02369defaa62dee5bb251d2dea02dc7411e4a559840e912d4e,LOTTEMART,LOTTE Mart - Nha Trang,"Số 58 đường 23/10, Phường Tây Nha Trang, Khánh Hòa",https://www.giftpop.vn/category/view/MP2605150004?category_code=A117,2026-08-25T04:40:09.705Z
giftpop.vn,b2677cd09dcba8be03304ff21faf9e207d0707ba5aa270a3ba883a660c2fa33a,KMARKET,K-MARKET - Caputra,"Tầng 1 toà L2 KĐT Nam Thăng Long, P. Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",https://www.giftpop.vn/category/view/CB2012100002?category_code=A119,2026-08-25T04:40:09.705Z
giftpop.vn,189325073f8bac8bdb7749773a94318e830057ca1160d38bf363d54290d6704d,GOLDENGATE,Ashima - Tú Xương,"Số 11 Tú Xương, P. 7, Quận 3, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2303150002?category_code=A105,2026-08-25T04:40:09.705Z
giftpop.vn,f1985783d404255d990fb1dd443d76a59f0d5f56e2a9f62d116ea46f39b926f9,BBWELLNESS,BB Wellness - Ngô Quyền,"Hotline 0904 240 074 - Tầng 7, Tòa nhà Duy Khánh, Số 2 - lô 22A Lê Hồng Phong, P. Đông Khê, Quận Ngô Quyền, Hải Phòng",https://www.giftpop.vn/category/view/MP2307180007?category_code=A118,2026-08-25T04:40:09.705Z
giftpop.vn,dc0b1341a36054c5ebc33c25bf1f966502cd2fc67558792e7f4ad200aecbcc40,CHUKTEA,Chuk Tea & Coffee - 108 Vạn Kiếp,"108 Vạn Kiếp, P. 3, Quận Bình Thạnh, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2311060003?category_code=A101,2026-08-25T04:40:09.705Z
giftpop.vn,f848d05d61e38ae6ff66d6b909f4be4426166ad4877217d18fadafb28d8d5255,TOUSLESJOURS,TOUS les JOURS - IPH,"Gian hàng 131-132-133, Tầng 1, tòa nhà IPH, 241 Xuân Thủy, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",https://www.giftpop.vn/category/view/MP2502270003?category_code=A103,2026-08-25T04:40:09.705Z
giftpop.vn,3e87a5b096b1dde386944d7e93ac2954c0b10eae065da443253cbd31397a8366,DMARIS,DMaris - An Phú,"Tầng 6, Tòa nhà Cantavil Premier, số 1 Đường Song Hành Xa lộ Hà Nội, Phường Bình Trưng, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2606300002?category_code=A104,2026-08-25T04:40:09.705Z
